address,bathrooms,bedrooms,price,raw_text,scraped_at,square_meters,title,type,url
"Departamentos en arriendo Ronda Santo Domingo Por Greystar Desde $ 384.746 1 a 2 dormitorios 1 a 2 baños 35 - 60 m² útiles Santo Domingo 1669, Barrio Brasil, Santiago",2,2,384,"Departamentos en arriendo Ronda Santo Domingo Por Greystar Desde $ 384.746 1 a 2 dormitorios 1 a 2 baños 35 - 60 m² útiles Santo Domingo 1669, Barrio Brasil, Santiago Solicitud online de visita 162 un...",2025-07-27T21:03:56.640448,60,Ronda Santo Domingo,Departamento,https://portalinmobiliario.com/MLC-1520106363-ronda-santo-domingo-_JM#polycard_client=search-nordic&position=1&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
"Departamentos en arriendo Ronda Santo Domingo Por Greystar Desde $ 384.746 1 a 2 dormitorios 1 a 2 baños 35 - 60 m² útiles Santo Domingo 1669, Barrio Brasil, Santiago",2,2,384,"Departamentos en arriendo Ronda Santo Domingo Por Greystar Desde $ 384.746 1 a 2 dormitorios 1 a 2 baños 35 - 60 m² útiles Santo Domingo 1669, Barrio Brasil, Santiago Solicitud online de visita 162 un...",2025-07-27T21:03:56.640539,60,Ronda Santo Domingo,Departamento,https://portalinmobiliario.com/MLC-1520106363-ronda-santo-domingo-_JM#polycard_client=search-nordic&position=1&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
"Departamentos en arriendo San Isidro 543 Por Assetplan Chile Desde $ 330.000 1 a 2 dormitorios 1 a 2 baños 22 - 45 m² útiles San Isidro 543, Santiago",2,2,330,"Departamentos en arriendo San Isidro 543 Por Assetplan Chile Desde $ 330.000 1 a 2 dormitorios 1 a 2 baños 22 - 45 m² útiles San Isidro 543, Santiago, Santa Isabel, Santiago Solicitud online de visita...",2025-07-27T21:03:56.640639,45,San Isidro 543,Departamento,https://portalinmobiliario.com/MLC-1573161015-san-isidro-543-_JM#polycard_client=search-nordic&position=2&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
"Departamentos en arriendo San Isidro 543 Por Assetplan Chile Desde $ 330.000 1 a 2 dormitorios 1 a 2 baños 22 - 45 m² útiles San Isidro 543, Santiago",2,2,330,"Departamentos en arriendo San Isidro 543 Por Assetplan Chile Desde $ 330.000 1 a 2 dormitorios 1 a 2 baños 22 - 45 m² útiles San Isidro 543, Santiago, Santa Isabel, Santiago Solicitud online de visita...",2025-07-27T21:03:56.640725,45,San Isidro 543,Departamento,https://portalinmobiliario.com/MLC-1573161015-san-isidro-543-_JM#polycard_client=search-nordic&position=2&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
"Departamentos en arriendo Edificio Claudio Gay Por Assetplan Chile Desde $ 307.000 1 a 2 dormitorios 1 a 2 baños 30 - 52 m² útiles Claudio Gay 2547, Barrio República, Santiago",2,2,307,"Departamentos en arriendo Edificio Claudio Gay Por Assetplan Chile Desde $ 307.000 1 a 2 dormitorios 1 a 2 baños 30 - 52 m² útiles Claudio Gay 2547, Barrio República, Santiago Solicitud online de visi...",2025-07-27T21:03:56.640820,52,Edificio Claudio Gay,Departamento,https://portalinmobiliario.com/MLC-1464215105-edificio-claudio-gay-_JM#polycard_client=search-nordic&position=3&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
"Departamentos en arriendo Edificio Claudio Gay Por Assetplan Chile Desde $ 307.000 1 a 2 dormitorios 1 a 2 baños 30 - 52 m² útiles Claudio Gay 2547, Barrio República, Santiago",2,2,307,"Departamentos en arriendo Edificio Claudio Gay Por Assetplan Chile Desde $ 307.000 1 a 2 dormitorios 1 a 2 baños 30 - 52 m² útiles Claudio Gay 2547, Barrio República, Santiago Solicitud online de visi...",2025-07-27T21:03:56.640906,52,Edificio Claudio Gay,Departamento,https://portalinmobiliario.com/MLC-1464215105-edificio-claudio-gay-_JM#polycard_client=search-nordic&position=3&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
"Departamentos en arriendo Nueva Valdés Por Assetplan Chile Desde $ 315.000 1 dormitorio 1 baño 30 m² útiles Nueva De Valdes - Nueva De Valdés 657, Santiago",1,1,315,"Departamentos en arriendo Nueva Valdés Por Assetplan Chile Desde $ 315.000 1 dormitorio 1 baño 30 m² útiles Nueva De Valdes - Nueva De Valdés 657, Santiago, San Diego, Santiago Solicitud online de vis...",2025-07-27T21:03:56.640996,30,Nueva Valdés,Departamento,https://portalinmobiliario.com/MLC-2798124864-nueva-valdes-_JM#polycard_client=search-nordic&position=4&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
"Departamentos en arriendo Nueva Valdés Por Assetplan Chile Desde $ 315.000 1 dormitorio 1 baño 30 m² útiles Nueva De Valdes - Nueva De Valdés 657, Santiago",1,1,315,"Departamentos en arriendo Nueva Valdés Por Assetplan Chile Desde $ 315.000 1 dormitorio 1 baño 30 m² útiles Nueva De Valdes - Nueva De Valdés 657, Santiago, San Diego, Santiago Solicitud online de vis...",2025-07-27T21:03:56.641075,30,Nueva Valdés,Departamento,https://portalinmobiliario.com/MLC-2798124864-nueva-valdes-_JM#polycard_client=search-nordic&position=4&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
"Departamentos en arriendo Vicuña Capital Por Assetplan Chile Desde $ 355.000 1 a 2 dormitorios 1 a 2 baños 27 - 46 m² útiles Av. Vicuña Mackenna 1441, Ñuñoa, Bogotá - Sierra Bella, Santiago",2,2,355,"Departamentos en arriendo Vicuña Capital Por Assetplan Chile Desde $ 355.000 1 a 2 dormitorios 1 a 2 baños 27 - 46 m² útiles Av. Vicuña Mackenna 1441, Ñuñoa, Bogotá - Sierra Bella, Santiago Solicitud ...",2025-07-27T21:03:56.641164,46,Vicuña Capital,Departamento,https://portalinmobiliario.com/MLC-2851547690-vicuna-capital-_JM#polycard_client=search-nordic&position=5&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
"Departamentos en arriendo Vicuña Capital Por Assetplan Chile Desde $ 355.000 1 a 2 dormitorios 1 a 2 baños 27 - 46 m² útiles Av. Vicuña Mackenna 1441, Ñuñoa, Bogotá - Sierra Bella, Santiago",2,2,355,"Departamentos en arriendo Vicuña Capital Por Assetplan Chile Desde $ 355.000 1 a 2 dormitorios 1 a 2 baños 27 - 46 m² útiles Av. Vicuña Mackenna 1441, Ñuñoa, Bogotá - Sierra Bella, Santiago Solicitud ...",2025-07-27T21:03:56.641244,46,Vicuña Capital,Departamento,https://portalinmobiliario.com/MLC-2851547690-vicuna-capital-_JM#polycard_client=search-nordic&position=5&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
"Departamentos en arriendo Home Inclusive Carmen Por Assetplan Chile Desde $ 315.000 1 a 2 dormitorios 1 a 2 baños 33 - 51 m² útiles Carmen 668, Santiago",2,2,315,"Departamentos en arriendo Home Inclusive Carmen Por Assetplan Chile Desde $ 315.000 1 a 2 dormitorios 1 a 2 baños 33 - 51 m² útiles Carmen 668, Santiago, Barrio Diez De Julio, Santiago Solicitud onlin...",2025-07-27T21:03:56.641337,51,Home Inclusive Carmen,Departamento,https://portalinmobiliario.com/MLC-2777836572-home-inclusive-carmen-_JM#polycard_client=search-nordic&position=6&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
"Departamentos en arriendo Home Inclusive Carmen Por Assetplan Chile Desde $ 315.000 1 a 2 dormitorios 1 a 2 baños 33 - 51 m² útiles Carmen 668, Santiago",2,2,315,"Departamentos en arriendo Home Inclusive Carmen Por Assetplan Chile Desde $ 315.000 1 a 2 dormitorios 1 a 2 baños 33 - 51 m² útiles Carmen 668, Santiago, Barrio Diez De Julio, Santiago Solicitud onlin...",2025-07-27T21:03:56.641420,51,Home Inclusive Carmen,Departamento,https://portalinmobiliario.com/MLC-2777836572-home-inclusive-carmen-_JM#polycard_client=search-nordic&position=6&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
Santiago Por Assetplan Chile Desde,2,2,325,"Departamentos en arriendo Midtown Santiago Por Assetplan Chile Desde $ 325.000 1 a 2 dormitorios 1 a 2 baños 31 - 47 m² útiles Arturo Prat 621, Santiago, San Diego, Santiago Solicitud online de visita...",2025-07-27T21:03:56.641509,47,Midtown Santiago,Departamento,https://portalinmobiliario.com/MLC-2798192574-midtown-santiago-_JM#polycard_client=search-nordic&position=7&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
Santiago Por Assetplan Chile Desde,2,2,325,"Departamentos en arriendo Midtown Santiago Por Assetplan Chile Desde $ 325.000 1 a 2 dormitorios 1 a 2 baños 31 - 47 m² útiles Arturo Prat 621, Santiago, San Diego, Santiago Solicitud online de visita...",2025-07-27T21:03:56.641584,47,Midtown Santiago,Departamento,https://portalinmobiliario.com/MLC-2798192574-midtown-santiago-_JM#polycard_client=search-nordic&position=7&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
"Departamentos en arriendo Echaurren Por Assetplan Chile Desde $ 348.000 1 a 2 dormitorios 1 a 2 baños 31 - 50 m² útiles Echaurren 40, Barrio República, Santiago",2,2,348,"Departamentos en arriendo Echaurren Por Assetplan Chile Desde $ 348.000 1 a 2 dormitorios 1 a 2 baños 31 - 50 m² útiles Echaurren 40, Barrio República, Santiago Solicitud online de visita 4 unidades d...",2025-07-27T21:03:56.641673,50,Echaurren,Departamento,https://portalinmobiliario.com/MLC-2731745426-echaurren-_JM#polycard_client=search-nordic&position=8&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
"Departamentos en arriendo Echaurren Por Assetplan Chile Desde $ 348.000 1 a 2 dormitorios 1 a 2 baños 31 - 50 m² útiles Echaurren 40, Barrio República, Santiago",2,2,348,"Departamentos en arriendo Echaurren Por Assetplan Chile Desde $ 348.000 1 a 2 dormitorios 1 a 2 baños 31 - 50 m² útiles Echaurren 40, Barrio República, Santiago Solicitud online de visita 4 unidades d...",2025-07-27T21:03:56.641751,50,Echaurren,Departamento,https://portalinmobiliario.com/MLC-2731745426-echaurren-_JM#polycard_client=search-nordic&position=8&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
"Departamentos en arriendo Serrano Capital Por Assetplan Chile Desde $ 355.000 1 dormitorio 1 baño 29 - 32 m² útiles Serrano 562, Santiago",1,1,355,"Departamentos en arriendo Serrano Capital Por Assetplan Chile Desde $ 355.000 1 dormitorio 1 baño 29 - 32 m² útiles Serrano 562, Santiago, San Diego, Santiago Solicitud online de visita 72 unidades di...",2025-07-27T21:03:56.641841,32,Serrano Capital,Departamento,https://portalinmobiliario.com/MLC-1580190767-serrano-capital-_JM#polycard_client=search-nordic&position=9&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
"Departamentos en arriendo Serrano Capital Por Assetplan Chile Desde $ 355.000 1 dormitorio 1 baño 29 - 32 m² útiles Serrano 562, Santiago",1,1,355,"Departamentos en arriendo Serrano Capital Por Assetplan Chile Desde $ 355.000 1 dormitorio 1 baño 29 - 32 m² útiles Serrano 562, Santiago, San Diego, Santiago Solicitud online de visita 72 unidades di...",2025-07-27T21:03:56.641919,32,Serrano Capital,Departamento,https://portalinmobiliario.com/MLC-1580190767-serrano-capital-_JM#polycard_client=search-nordic&position=9&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
"Departamentos en arriendo Nuevo Oriente I Por Assetplan Chile Desde $ 272.000 1 dormitorio 1 baño 29 - 31 m² útiles Sta. Elena 1486, Santiago",1,1,272,"Departamentos en arriendo Nuevo Oriente I Por Assetplan Chile Desde $ 272.000 1 dormitorio 1 baño 29 - 31 m² útiles Sta. Elena 1486, Santiago, Bogotá - Sierra Bella, Santiago Solicitud online de visit...",2025-07-27T21:03:56.642008,31,Nuevo Oriente I,Departamento,https://portalinmobiliario.com/MLC-1554243201-nuevo-oriente-i-_JM#polycard_client=search-nordic&position=10&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
"Departamentos en arriendo Nuevo Oriente I Por Assetplan Chile Desde $ 272.000 1 dormitorio 1 baño 29 - 31 m² útiles Sta. Elena 1486, Santiago",1,1,272,"Departamentos en arriendo Nuevo Oriente I Por Assetplan Chile Desde $ 272.000 1 dormitorio 1 baño 29 - 31 m² útiles Sta. Elena 1486, Santiago, Bogotá - Sierra Bella, Santiago Solicitud online de visit...",2025-07-27T21:03:56.642086,31,Nuevo Oriente I,Departamento,https://portalinmobiliario.com/MLC-1554243201-nuevo-oriente-i-_JM#polycard_client=search-nordic&position=10&search_layout=gallery&type=item&tracking_id=d6e33697-9279-44e9-8cb9-d86d768fc07b
